match_id,game,date,tournament,series,team1_id,team1_name,team2_id,team2_name,winner_id,label,n_games
1448785,cs-go,2026-04-19 02:33:31+00:00,Playoffs,Eagle Masters season 7 2026,133997,regain,133538,Akimbo Esports,133538,0,3
1438966,cs-go,2026-04-19 06:26:21+00:00,Playoffs,Open Series #4 2026,138015,Ding Cuts,138092,Abyssal,138092,0,3
1448821,cs-go,2026-04-19 09:41:18+00:00,Playoffs,Season 5 2026,133941,Sashi Academy,127976,Infinite,127976,0,3
1448819,cs-go,2026-04-19 09:52:32+00:00,Playoffs,Season 5 2026,137416,TNC,137580, Phantom Academy,137416,1,3
1448818,cs-go,2026-04-19 09:52:47+00:00,Playoffs,Season 5 2026,138089,zajezdzacze,138486,ImmuNe,138089,1,3
1431942,cs-go,2026-04-19 09:57:25+00:00,Group Stage,Season 7 2026,129160,MOUZ NXT,136900,Ursa,129160,1,3
1448820,cs-go,2026-04-19 10:51:59+00:00,Playoffs,Season 5 2026,131591,XI Esport,134251,Rebels Gaming,134251,0,3
1438967,cs-go,2026-04-19 11:01:47+00:00,Playoffs,Open Series #4 2026,127114,Rooster,138092,Abyssal,138092,0,3
1451290,cs-go,2026-04-19 11:13:29+00:00,Group C,Regular season 4 2026,136846,Prestige,137324,Imperial Academy,137324,0,3
1453427,cs-go,2026-04-19 11:13:55+00:00,Group A,Season 48 2026,138281,Passion Academy,136593,Sangal ALTERS,138281,1,3
1452824,cs-go,2026-04-19 11:20:35+00:00,Main Stage,Season 25 2026,131561,Partizan Esport,134320,aimclub,131561,1,3
1448830,cs-go,2026-04-19 12:34:25+00:00,Playoffs,Season 5 2026,137580, Phantom Academy,138486,ImmuNe,137580,1,3
1453428,cs-go,2026-04-19 12:56:50+00:00,Group A,Season 48 2026,138609,Golden Five,136786,LPH Gaming,136786,0,3
1431944,cs-go,2026-04-19 13:28:21+00:00,Group Stage,Season 7 2026,135673,Nuclear TigeRES,3266,ESC Gaming,3266,0,3
1452825,cs-go,2026-04-19 13:57:27+00:00,Main Stage,Season 25 2026,136564,Ctrl Alt Defeat,133571,Wave Esports,136564,1,3
1449725,cs-go,2026-04-19 14:00:24+00:00,Playoffs,Challengers Series 1 2026,126624,Brute,128327,Young Ninjas,126624,1,3
1448831,cs-go,2026-04-19 14:04:16+00:00,Playoffs,Season 5 2026,133941,Sashi Academy,131591,XI Esport,131591,0,3
1453385,cs-go,2026-04-19 14:06:00+00:00,Regular Season,Advanced Europe season 57 2026,137473,OldBoys,129468,Glitchtech Esports,137473,1,1
